original sort,AssessID,Species,P1_label,Location,Region,depth_ft_colony_base,firstvisit_date,length,width,height,Surface Area (cm²),total_periods_visited,total_periods_diseased,treat_type,total_treatments,Resistance_April2021,Resistance2_April2021,%visits_diseased_total,%visits_diseased_May21-Mar22,%LiveTissueDifference_total,%LiveTissueDifference_Apr21-Mar22,date,time,process_time,disease,coresite_angle,core_location,core_heading,core_depth,Zoox_dominant,Zoox_background
45,MC-027,Ofav1,2027,ECA,3South,24,2/9/21,200,150,85,23528,22,0,NA,0,3-High,SCTLD unaffected,0.00%,0.00%,0,0,6/21/21,14:37,5,A,Vertical,MS,W,18,C,NA
36,MC-032,Ofav2,2032,ECA,1North,22,2/8/21,170,160,55,16828,23,0,NA,0,3-High,SCTLD unaffected,0.00%,0.00%,0,0,5/28/21,12:52,5,A,Flat,T,Top,17,B,NA
13,LC-085,Ofav1,2085,ECA,3South,20,6/7/18,350,250,180,80174,52,6,Epox,14,1-Low,SCTLD affected,11.50%,0.00%,-5,0,6/21/21,11:41,6,A,Vertical,MS,N,18,B,NA
1,LC-005,Ofav1,2105,ECA,1North,23,9/13/18,280,265,130,56539,51,6,Both,14,1-Low,SCTLD affected,11.80%,0.00%,-10,0,5/28/21,13:56,6,A,Angle ,T/US,SW,20,B,NA
20,LC-115,Ofav1,2115,ECA,1North,17,9/12/18,200,235,140,44441,48,1,Amox,1,2-Some,SCTLD affected,2.10%,0.00%,0,0,5/28/21,NA,NA,A,Vertical,US,W,15,B,NA
26,LC-126,Ofav1,2126,ECA,2Middle,29,4/2/18,410,405,150,108215,54,1,Amox,1,2-Some,SCTLD affected,1.90%,0.00%,-5,0,6/17/21,11:35,9,A,Flat,T,NE,34,D,NA
37,LC-127,Ofav1,2127,ECA,2Middle,29,4/2/18,450,360,180,119124,53,0,NA,0,3-High,SCTLD unaffected,0.00%,0.00%,0,0,6/17/21,11:10,6,A,Angle ,US,W,27,B,NA
30,LC-139,Ofav1,2129,ECA,2Middle,30,4/4/18,362,329,100,68885,41,0,NA,0,3-High,SCTLD unaffected,0.00%,0.00%,0,0,6/17/21,10:49,6,A,Angle ,T,W,29,B,D
41,MC-011,Ofav1,2311,ECA,3South,21,7/22/19,250,220,170,56755,41,1,Amox,3,3-High,SCTLD affected,2.40%,9.10%,0,0,6/21/21,14:53,6,A,Angle ,US,W,17,B,NA
42,MC-014,Ofav1,2314,ECA,3South,21,7/25/19,215,220,100,35178,41,0,NA,0,3-High,SCTLD unaffected,0.00%,0.00%,0,0,6/21/21,13:56,6,A,Angle ,US,NE,18,B,C
38,MC-005,Ofav1,2405,ECA,2Middle,22,7/17/19,130,160,70,16110,41,0,NA,0,3-High,SCTLD unaffected,0.00%,0.00%,0,0,6/17/21,10:25,10,A,Vertical,MS,W,22,B,NA
24,LC-058,Ofav1,2558,ECA,2Middle,26,9/11/18,230,230,90,35679,54,2,Both,3,2-Some,SCTLD affected,3.70%,0.00%,0,0,6/17/21,16:12,5,A,Flat,US,N,23,B,NA
40,LC-079,Ofav1,2579,ECA,3South,21,9/10/18,320,310,130,69036,53,0,NA,0,3-High,SCTLD unaffected,0.00%,0.00%,0,0,6/21/21,12:08,7,A,Vertical,B,N,21,B,NA
22,LC-018,Ofav1,2818,ECA,2Middle,21,6/8/18,400,330,190,107403,56,2,Epox,9,2-Some,SCTLD affected,3.60%,0.00%,0,0,6/17/21,13:47,5,A,Angle ,LS/B,S,21,B,NA
21,LC-007,Ofav1,2907,ECA,2Middle,25,9/11/18,320,305,150,74656,52,3,Amox,5,2-Some,SCTLD affected,5.80%,9.10%,0,0,6/17/21,16:32,3,A,Angle ,LS,SE,23,B,C
39,LC-064,Ofav1,2964,ECA,3South,20,7/22/19,250,210,150,50190,44,0,NA,0,3-High,SCTLD unaffected,0.00%,0.00%,0,0,6/21/21,14:09,6,A,Vertical,LS,E,18,B,NA
81,3342,Ofav1,3342,Sand,Sand,24,2/14/20,170,108,160,29531,17,4,Amox,28,2-Some,SCTLD affected,23.50%,16.70%,NA,NA,6/13/21,10:32,7,P,Flat,LS,NW,25,B,CD
74,3343,Ofav1,3343,Sand,Sand,23,2/14/20,99,90,90,11495,17,11,Amox,126,1-Low,SCTLD affected,64.70%,66.70%,NA,NA,6/13/21,11:19,7,P,Vertical,US,N,21,B,CD
82,3420,Ofav1,3420,Sand,Sand,23,4/2/20,68,48,68,5210,16,2,Amox,2,2-Some,SCTLD affected,12.50%,0.00%,NA,NA,6/13/21,13:25,8,A,Angle ,US,N,21,B,NA
60,3421,Ofav1,3421,Looe,Looe,25,3/13/20,218,185,184,50457,16,6,Amox,28,2-Some,SCTLD affected,37.50%,100.00%,NA,NA,6/12/21,11:32,8,PC,Vertical,MS,W,21,C,D
61,3446,Ofav1,3446,Looe,Looe,24,3/25/20,65,61,68,5690,17,1,Amox,2,2-Some,SCTLD affected,5.90%,0.00%,NA,NA,6/12/21,13:02,7,A,Flat,T,S,22,B,NA
75,4360,Ofav1,4360,Sand,Sand,23,6/10/20,212,170,173,45049,15,10,Amox,84,1-Low,SCTLD affected,66.70%,83.30%,NA,NA,6/13/21,16:00,8,P,Vertical,LS,SW,24,B,CD
83,4503,Ofav1,4503,Sand,Sand,20,6/10/20,90,77,65,7596,15,1,Amox,1,2-Some,SCTLD affected,6.70%,0.00%,NA,NA,6/13/21,14:03,7,A,Angle ,US,NE,19,B,D
76,4616,Ofav1,4616,Sand,Sand,28,8/11/20,150,145,138,27579,14,8,Amox,113,1-Low,SCTLD affected,57.10%,66.70%,NA,NA,6/13/21,13:00,9,P,Vertical,LS,E,28,B,NA
84,N-46,Ofav1,N-46,Sand,Sand,24,6/13/21,75,55,57,5083,10,0,NA,0,3-High,SCTLD unaffected,0.00%,0.00%,NA,NA,6/13/21,14:21,6,A,Vertical,US,SW,23,B,NA
62,N-48,Ofav1,N-48,Looe,Looe,22,6/12/21,95,95,103,12987,10,0,NA,0,3-High,SCTLD unaffected,0.00%,0.00%,NA,NA,6/12/21,17:17,5,A,Angle ,TS,NW,21,B,NA
85,N-49,Ofav1,N-49,Sand,Sand,24,6/13/21,63,50,52,3996,10,1,Amox,5,3-High,SCTLD affected,10.00%,16.70%,NA,NA,6/13/21,11:51,9,A,Angle ,T,SW,25,B,NA
63,N-50,Ofav1,N-50,Looe,Looe,19,6/12/21,110,78,103,12886,10,0,NA,0,3-High,SCTLD unaffected,0.00%,0.00%,NA,NA,6/12/21,17:27,8,A,Flat,T,NE,17,B,NA
64,N-52,Ofav1,N-52,Looe,Looe,15,6/12/21,92,72,73,8186,10,0,NA,0,3-High,SCTLD unaffected,0.00%,0.00%,NA,NA,6/12/21,17:39,5,A,Angle ,TS,E,15,B,NA
65,N-53,Ofav1,N-53,Looe,Looe,24,6/12/21,50,45,66,4055,10,0,NA,0,3-High,SCTLD unaffected,0.00%,0.00%,NA,NA,6/12/21,17:06,7,A,Flat,T,S,24,B,NA
66,N-54,Ofav1,N-54,Looe,Looe,15,6/12/21,178,142,147,31996,10,0,NA,0,3-High,SCTLD unaffected,0.00%,0.00%,NA,NA,6/12/21,NA,NA,A,Vertical,US,SW,15,B,NA
67,N-56,Ofav1,N-56,Looe,Looe,14,6/12/21,175,182,168,40594,10,1,Amox,1,3-High,SCTLD affected,10.00%,16.70%,NA,NA,6/12/21,16:45,7,A,Angle ,US,N,12,B,NA
68,N-58,Ofav1,N-58,Looe,Looe,16,6/12/21,102,98,103,13763,10,2,Amox,5,3-High,SCTLD affected,20.00%,33.30%,NA,NA,6/12/21,16:35,8,A,Vertical,US,NE,15,B,NA
69,N-59,Ofav1,N-59,Looe,Looe,24,6/12/21,127,124,128,21493,10,0,NA,0,3-High,SCTLD unaffected,0.00%,0.00%,NA,NA,6/12/21,16:57,5,A,Flat,T,SW,21,B,NA
